"Metric","Value"
"orderProcessing.averageProcessingTime","0"
"orderProcessing.processingTimeReduction","15.2"
"orderProcessing.ordersProcessedToday","6"
"orderProcessing.ordersProcessedThisMonth","6"
"orderProcessing.processingTimeByStatus","[object Object],[object Object]"
"orderProcessing.processingTimeTrend",""
"orderAccuracy.accuracyRate","0"
"orderAccuracy.totalOrders","6"
"orderAccuracy.accurateOrders","0"
"orderAccuracy.inaccurateOrders","6"
"orderAccuracy.accuracyByOrderType",""
"orderAccuracy.accuracyTrend",""
"customerSatisfaction.averageSatisfactionScore","4.3"
"customerSatisfaction.totalSurveys","245"
"customerSatisfaction.satisfactionDistribution","[object Object],[object Object],[object Object],[object Object],[object Object]"
"customerSatisfaction.satisfactionTrend",""
"customerSatisfaction.satisfactionByServiceType",""
"systemUptime.uptimePercentage","99.95"
"systemUptime.totalUptime","719.64"
"systemUptime.totalDowntime","0.36"
"systemUptime.availabilityTrend",""
"systemUptime.incidentCount","2"
"systemUptime.averageResolutionTime","0.18"
"userAdoption.totalUsers","9"
"userAdoption.activeUsers","9"
"userAdoption.adoptionRate","100"
"userAdoption.usersByRole","[object Object],[object Object]"
"userAdoption.adoptionTrend",""
"userAdoption.featureUsage",""
"onboardingCompletion.completionRate","94.2"
"onboardingCompletion.totalOnboardings","150"
"onboardingCompletion.completedOnboardings","141"
"onboardingCompletion.averageCompletionTime","8.2"
"onboardingCompletion.completionByType",""
"onboardingCompletion.completionTrend",""
"onboardingCompletion.stuckOnboardings",""
"trialConversion.conversionRate","0"
"trialConversion.totalTrials","1"
"trialConversion.convertedTrials","0"
"trialConversion.averageConversionTime","21.5"
"trialConversion.conversionByCampaign",""
"trialConversion.conversionTrend",""
"trialConversion.expiringTrials",""
"customerTimeToValue.averageTimeToValue","12.5"
"customerTimeToValue.timeToValueReduction","40.2"
"customerTimeToValue.timeToValueByServiceType",""
"customerTimeToValue.timeToValueTrend",""
"customerTimeToValue.valueAchievementRate","85.7"
"manualApplicationProcessing.averageProcessingTime","2.8"
"manualApplicationProcessing.processingTimeWithin4Hours","95.2"
"manualApplicationProcessing.totalApplications","89"
"manualApplicationProcessing.processedApplications","84"
"manualApplicationProcessing.processingTimeByFNO",""
"manualApplicationProcessing.processingTrend",""
"manualApplicationProcessing.backlogApplications",""
"escalationResolution.resolutionRate","0"
"escalationResolution.totalEscalations","0"
"escalationResolution.resolvedEscalations","0"
"escalationResolution.averageResolutionTime","4.2"
"escalationResolution.resolutionByLevel",""
"escalationResolution.resolutionTrend",""
"escalationResolution.overdueEscalations",""
"fnoReferenceTracking.trackingAccuracy","100"
"fnoReferenceTracking.totalApplications","156"
"fnoReferenceTracking.trackedApplications","156"
"fnoReferenceTracking.accuracyByFNO",""
"fnoReferenceTracking.accuracyTrend",""
"fnoReferenceTracking.missingReferences",""
